,eventId,subEventName,tags,playerId,positions,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,team_name,player_name,zone,date_time,caseId,end_time
200732821,1,Ground attacking duel,"[503, 703, 1801]",3359,"[{'y': 45, 'x': 69}, {'y': 53, 'x': 75}]",2565647,Duel,676,2H,5324.133063,11,Barcelona,L. Messi,C2,2018-05-20 01:28:44.133063,242.0,2018-05-20 01:28:45.635889
247596435,8,Simple pass,[1801],222770,"[{'y': 69, 'x': 21}, {'y': 50, 'x': 3}]",2565889,Pass,676,1H,1295.498777,85,Barcelona,Nelson Semedo,A3,2018-05-20 02:21:35.498777,302.0,2018-05-20 02:21:35.498777
200732814,8,Simple pass,[1801],3346,"[{'y': 49, 'x': 66}, {'y': 34, 'x': 67}]",2565647,Pass,676,2H,5313.710898,85,Barcelona,Sergio Busquets,C2,2018-05-20 01:28:33.710898,242.0,2018-05-20 01:28:33.710898
200732410,3,Throw in,[1801],0,"[{'y': 0, 'x': 32}, {'y': 73, 'x': 35}]",2565647,Free Kick,676,2H,3923.266472,36,Barcelona,unknown,B1,2018-05-20 01:05:23.266472,186.0,2018-05-20 01:05:23.266472
200732713,8,Simple pass,[1801],3346,"[{'y': 69, 'x': 26}, {'y': 28, 'x': 25}]",2565647,Pass,676,2H,4959.197046,85,Barcelona,Sergio Busquets,B3,2018-05-20 01:22:39.197046,225.0,2018-05-20 01:22:39.197046
247596102,8,Simple pass,[1801],25397,"[{'y': 31, 'x': 33}, {'y': 25, 'x': 53}]",2565889,Pass,676,1H,321.691599,85,Barcelona,S. Umtiti,B1,2018-05-20 02:05:21.691599,268.0,2018-05-20 02:05:21.691599
200732740,1,Ground loose ball duel,"[702, 1801]",25397,"[{'y': 53, 'x': 28}, {'y': 25, 'x': 39}]",2565647,Duel,676,2H,5027.989672,13,Barcelona,S. Umtiti,B2,2018-05-20 01:23:47.989672,229.0,2018-05-20 01:23:47.989672
200731382,3,Free Kick,[1801],3359,"[{'y': 88, 'x': 62}, {'y': 92, 'x': 67}]",2565647,Free Kick,676,1H,913.486,31,Barcelona,L. Messi,C3,2018-05-20 00:15:13.486000,47.0,2018-05-20 00:15:13.486000
247596012,8,Simple pass,[1801],3269,"[{'y': 6, 'x': 33}, {'y': 5, 'x': 64}]",2565889,Pass,676,1H,142.215065,85,Barcelona,Jordi Alba,B1,2018-05-20 02:02:22.215065,259.0,2018-05-20 02:02:22.215065
247595942,8,Simple pass,[1801],222770,"[{'y': 79, 'x': 35}, {'y': 61, 'x': 23}]",2565889,Pass,676,1H,10.039466000000001,85,Barcelona,Nelson Semedo,B3,2018-05-20 02:00:10.039466,254.0,2018-05-20 02:00:10.039466
200735163,1,Ground loose ball duel,"[701, 1802]",0,"[{'y': 31, 'x': 87}, {'y': 35, 'x': 89}]",2565647,Duel,676,1H,2081.224898,13,Barcelona,unknown,D1,2018-05-20 00:34:41.224898,104.0,2018-05-20 00:34:41.224898
247597542,8,Simple pass,[1801],3346,"[{'y': 91, 'x': 55}, {'y': 98, 'x': 61}]",2565889,Pass,676,2H,4549.034124,85,Barcelona,Sergio Busquets,C3,2018-05-20 03:15:49.034124,423.0,2018-05-20 03:15:49.034124
200731938,1,Ground attacking duel,"[703, 1801]",3359,"[{'y': 81, 'x': 55}, {'y': 73, 'x': 63}]",2565647,Duel,676,1H,2413.83864,11,Barcelona,L. Messi,C3,2018-05-20 00:40:13.838640,115.0,2018-05-20 00:40:13.838640
200732132,7,Acceleration,[1801],3476,"[{'y': 87, 'x': 27}, {'y': 82, 'x': 43}]",2565647,Others on the ball,676,2H,3042.767271,70,Barcelona,I. Rakitic,B3,2018-05-20 00:50:42.767271,148.0,2018-05-20 00:50:45.599980
200732831,1,Ground defending duel,"[701, 1802]",3359,"[{'y': 29, 'x': 33}, {'y': 32, 'x': 28}]",2565647,Duel,676,2H,5435.489041,12,Barcelona,L. Messi,B1,2018-05-20 01:30:35.489041,247.0,2018-05-20 01:30:38.599396
247597525,8,Simple pass,[1801],40550,"[{'y': 84, 'x': 27}, {'y': 65, 'x': 33}]",2565889,Pass,676,2H,4503.462386,85,Barcelona,Paulinho,B3,2018-05-20 03:15:03.462386,421.0,2018-05-20 03:15:03.462386
247596254,8,Launch,[1802],15008,"[{'y': 56, 'x': 2}, {'y': 82, 'x': 45}]",2565889,Pass,676,1H,712.416271,84,Barcelona,M. ter Stegen,A2,2018-05-20 02:11:52.416271,283.0,2018-05-20 02:11:52.416271
247597760,8,Simple pass,[1801],3476,"[{'y': 54, 'x': 72}, {'y': 75, 'x': 68}]",2565889,Pass,676,2H,3749.362464,85,Barcelona,I. Rakitic,C2,2018-05-20 03:02:29.362464,394.0,2018-05-20 03:02:29.362464
247596359,8,Simple pass,[1801],3341,"[{'y': 71, 'x': 39}, {'y': 78, 'x': 55}]",2565889,Pass,676,1H,1102.653445,85,Barcelona,Pique,B3,2018-05-20 02:18:22.653445,297.0,2018-05-20 02:18:22.653445
247595939,8,Simple pass,[1801],7972,"[{'y': 48, 'x': 50}, {'y': 29, 'x': 36}]",2565889,Pass,676,1H,2.088863,85,Barcelona,L. Suarez,C2,2018-05-20 02:00:02.088863,254.0,2018-05-20 02:00:02.088863
247596172,8,Simple pass,[1801],3476,"[{'y': 52, 'x': 26}, {'y': 29, 'x': 38}]",2565889,Pass,676,1H,535.182371,85,Barcelona,I. Rakitic,B2,2018-05-20 02:08:55.182371,275.0,2018-05-20 02:08:55.182371
200732620,8,Simple pass,[1801],3269,"[{'y': 6, 'x': 74}, {'y': 21, 'x': 72}]",2565647,Pass,676,2H,4626.864611,85,Barcelona,Jordi Alba,C1,2018-05-20 01:17:06.864611,213.0,2018-05-20 01:17:06.864611
200731427,1,Ground loose ball duel,"[703, 1801]",40550,"[{'y': 51, 'x': 57}, {'y': 53, 'x': 53}]",2565647,Duel,676,1H,996.774828,13,Barcelona,Paulinho,C2,2018-05-20 00:16:36.774828,53.0,2018-05-20 00:16:36.774828
200732466,1,Ground attacking duel,"[1401, 503, 701, 1802]",211885,"[{'y': 32, 'x': 34}, {'y': 12, 'x': 33}]",2565647,Duel,676,2H,4107.383558,11,Barcelona,Andre Gomes,B1,2018-05-20 01:08:27.383558,193.0,2018-05-20 01:08:27.383558
247596742,1,Ground defending duel,"[501, 701, 1802]",3341,"[{'y': 70, 'x': 39}, {'y': 66, 'x': 45}]",2565889,Duel,676,1H,2318.805337,12,Barcelona,Pique,B3,2018-05-20 02:38:38.805337,337.0,2018-05-20 02:38:41.079939
247597576,8,Simple pass,[1802],3346,"[{'y': 42, 'x': 15}, {'y': 42, 'x': 29}]",2565889,Pass,676,2H,4627.516166,85,Barcelona,Sergio Busquets,A2,2018-05-20 03:17:07.516166,427.0,2018-05-20 03:17:07.516166
247596819,8,Simple pass,[1801],286390,"[{'y': 86, 'x': 47}, {'y': 79, 'x': 53}]",2565889,Pass,676,1H,2513.373253,85,Barcelona,O. Dembele,B3,2018-05-20 02:41:53.373253,344.0,2018-05-20 02:41:53.373253
200732697,8,Simple pass,[1801],3346,"[{'y': 27, 'x': 34}, {'y': 72, 'x': 32}]",2565647,Pass,676,2H,4898.459649,85,Barcelona,Sergio Busquets,B1,2018-05-20 01:21:38.459649,223.0,2018-05-20 01:21:38.459649
200732536,8,Simple pass,[1801],3269,"[{'y': 10, 'x': 83}, {'y': 9, 'x': 72}]",2565647,Pass,676,2H,4387.650455,85,Barcelona,Jordi Alba,D1,2018-05-20 01:13:07.650455,203.0,2018-05-20 01:13:07.650455
